label_disease_nm,gender,age,breed,eye_position,age_mean
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,7,Abyssinian,Right Eye,5.19
각막부골편,암컷,7,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,7,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,7,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,7,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,7,Abyssinian,Right Eye,5.19
각막부골편,암컷,7,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,7,Abyssinian,Right Eye,5.19
각막부골편,암컷,7,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,7,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,10,Abyssinian,Left Eye,5.19
각막부골편,암컷,12,Abyssinian,Right Eye,5.19
각막부골편,암컷,0,Abyssinian,Left Eye,5.19
각막부골편,수컷,0,Abyssinian,Left Eye,5.19
각막부골편,암컷,0,Abyssinian,Right Eye,5.19
각막부골편,암컷,1,Abyssinian,Left Eye,5.19
각막부골편,암컷,12,Abyssinian,Left Eye,5.19
각막부골편,암컷,10,Abyssinian,Right Eye,5.19
각막부골편,암컷,1,Abyssinian,Left Eye,5.19
각막부골편,수컷,2,Abyssinian,Left Eye,5.19
각막부골편,암컷,12,Abyssinian,Right Eye,5.19
각막부골편,암컷,12,Abyssinian,Right Eye,5.19
