label_disease_nm,gender,age,breed,eye_position,age_mean
결막염,암컷,1,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,1,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,수컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,1,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,1,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,1,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,1,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,수컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,수컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,수컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,수컷,0,노르웨이 숲,왼쪽눈,0.18
결막염,수컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,암컷,0,노르웨이 숲,오른쪽눈,0.18
결막염,수컷,0,데본 렉스,왼쪽눈,3.81
결막염,수컷,0,데본 렉스,왼쪽눈,3.81
결막염,수컷,0,데본 렉스,왼쪽눈,3.81
결막염,수컷,6,데본 렉스,왼쪽눈,3.81
결막염,수컷,6,데본 렉스,왼쪽눈,3.81
