label_disease_nm,gender,age,breed,eye_position,age_mean
각막궤양,수컷,4,페르시안,왼쪽눈,4.98
각막궤양,수컷,5,페르시안,왼쪽눈,4.98
각막궤양,수컷,11,페르시안,오른쪽눈,4.98
각막궤양,암컷,8,코리아 숏헤어,오른쪽눈,3.18
각막궤양,암컷,10,코리아 숏헤어,오른쪽눈,3.18
각막궤양,암컷,1,코리아 숏헤어,왼쪽눈,3.18
각막궤양,수컷,6,페르시안,오른쪽눈,4.98
각막궤양,수컷,6,페르시안,오른쪽눈,4.98
각막궤양,암컷,1,코리아 숏헤어,오른쪽눈,3.18
각막궤양,암컷,4,코리아 숏헤어,오른쪽눈,3.18
각막궤양,암컷,4,코리아 숏헤어,왼쪽눈,3.18
각막궤양,수컷,1,페르시안,오른쪽눈,4.98
각막궤양,수컷,1,러시안 블루,오른쪽눈,3.38
각막궤양,암컷,6,엑조틱 숏헤어,왼쪽눈,5.66
각막궤양,수컷,1,브리티쉬 숏헤어,오른쪽눈,3.6
각막궤양,암컷,9,아비시니안,오른쪽눈,4.14
각막궤양,암컷,1,아비시니안,오른쪽눈,4.14
각막궤양,수컷,11,페르시안,오른쪽눈,4.98
각막궤양,암컷,5,페르시안,오른쪽눈,4.98
각막궤양,수컷,1,코리아 숏헤어,오른쪽눈,3.18
각막궤양,수컷,1,코리아 숏헤어,오른쪽눈,3.18
각막궤양,수컷,8,코리아 숏헤어,오른쪽눈,3.18
각막궤양,수컷,11,브리티쉬 숏헤어,오른쪽눈,3.6
각막궤양,암컷,1,엑조틱 숏헤어,오른쪽눈,5.66
각막궤양,수컷,6,페르시안,오른쪽눈,4.98
각막궤양,암컷,1,아비시니안,왼쪽눈,4.14
각막궤양,암컷,8,코리아 숏헤어,왼쪽눈,3.18
각막궤양,암컷,8,코리아 숏헤어,왼쪽눈,3.18
각막궤양,암컷,8,코리아 숏헤어,왼쪽눈,3.18
각막궤양,수컷,8,페르시안,왼쪽눈,4.98
각막궤양,암컷,6,페르시안,오른쪽눈,4.98
각막궤양,수컷,1,코리아 숏헤어,왼쪽눈,3.18
각막궤양,암컷,1,코리아 숏헤어,왼쪽눈,3.18
각막궤양,수컷,0,먼치킨,왼쪽눈,2.74
각막궤양,암컷,3,아비시니안,왼쪽눈,4.14
각막궤양,수컷,1,페르시안,왼쪽눈,4.98
각막궤양,암컷,2,코리아 숏헤어,왼쪽눈,3.18
각막궤양,수컷,6,페르시안,왼쪽눈,4.98
각막궤양,암컷,0,코리아 숏헤어,왼쪽눈,3.18
각막궤양,수컷,1,페르시안,오른쪽눈,4.98
각막궤양,수컷,1,페르시안,오른쪽눈,4.98
각막궤양,수컷,1,페르시안,오른쪽눈,4.98
각막궤양,암컷,1,코리아 숏헤어,왼쪽눈,3.18
