Hospital_Name,Hospital_Address,Opening_Hour,Hospital_Phone,Latitude,Longitude,Hospital_Si,Hospital_Gu
N동물의료센터 노원점,서울 노원구 노원로 408,매일 00:00 ~ 24:00,02-919-0075,37.65312889,127.0681305,서울,노원구
VIP동물의료센터 청담점,서울 강남구 삼성로133길 7 베디베로스퀘어 2~4층,매일 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-511-7522,37.51947097,127.0489848,서울,강남구
24시우리들동물메디컬센터,"서울 양천구 신월로 355 더넥스트목동 1,2층",매일 00:00 ~ 24:00,02-2642-7588,37.52225248,126.8604862,서울,양천구
24시샤인동물메디컬센터,서울 송파구 오금로 147 JS빌딩,매일 00:00 ~ 24:00,02-2088-7775,37.51082963,127.1115625,서울,송파구
서울대학교 수의과대학 동물병원,서울 관악구 관악로 1, 월~금 09:00 ~ 18:00,02-880-8661,37.46628727,126.9481564,서울,관악구
웨스턴동물의료센터,서울 마포구 신촌로 110 웨스턴5빌딩,매일 00:00 ~ 24:00,02-701-7580,37.55515688,126.9381344,서울,마포구
VIP동물의료센터 성북점,서울 성북구 동소문로 73 시티플레이스 지하 1층~2층,"월~토 00:00 ~ 24:00 · 휴게시간 월,화,수,목,토,일 13:00 ~ 14:00",02-953-0075,37.59229647,127.0134126,서울,성북구
스마트동물병원 신사본점,서울 강남구 도산대로 213,등록된 정보가 없습니다,02-549-0275,37.52069647,127.0299892,서울,강남구
24시월드펫동물메디컬센터,서울 양천구 신월로 208,매일 00:00 ~ 24:00,02-2698-7582,37.52053213,126.845381,서울,양천구
도그마루 동물병원,서울 송파구 석촌호수로 104 1층, 매일 10:00 ~ 22:00,070-4349-3357,37.50775235,127.0884495,서울,송파구
서초이음동물병원,서울 서초구 효령로 347 서광빌딩 1층,등록된 정보가 없습니다,02-3474-7582,37.48685114,127.022007,서울,서초구
스마트동물병원,서울 강남구 선릉로 418,등록된 정보가 없습니다,02-554-7582,37.50226158,127.0503337,서울,강남구
서울동물심장병원,서울 강남구 언주로 542 ENP타워 1층,등록된 정보가 없습니다,02-6203-7588,37.50669089,127.0408613,서울,강남구
24시지구촌동물메디컬센터,서울 구로구 구로중앙로31길 30 유성빌딩, 매일 09:00 ~ 23:00 · 휴게시간 매일 13:00 ~ 14:00,02-869-7582,37.49878906,126.8847856,서울,구로구
예은동물병원,서울 강남구 도곡로 189," 월,화,일 10:00 ~ 18:00 · 휴게시간 월,화 13:00 ~ 14:00",02-529-5575,37.49241914,127.0400309,서울,강남구
VIP동물의료센터 동대문점,서울 동대문구 한천로14길 87 1층 101호,월~토 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-2215-7522,37.56634666,127.0675594,서울,동대문구
둘리동물병원,서울 도봉구 도봉로 502, 월~토 10:00 ~ 19:00 · 휴게시간 매일 12:30 ~ 13:30,02-993-0075,37.65007308,127.0359444,서울,도봉구
츄츄동물병원,서울 강남구 논현로67길 56, 매일 09:30 ~ 20:00,02-512-0075,37.49315863,127.0354332,서울,강남구
와우종합동물병원,서울 관악구 난곡로 247, 월~금 10:00 ~ 19:00,02-866-0880,37.47611531,126.9157703,서울,관악구
24시연동물의료센터,서울 강서구 화곡로 191 1층,매일 00:00 ~ 24:00,02-2605-7553,37.54293761,126.8422771,서울,강서구
봉천현대동물병원,서울 관악구 봉천로 520 3층, 월~금 10:00 ~ 19:00,02-878-9978,37.47945986,126.9557052,서울,관악구
24시 스마트동물메디컬센터,서울 은평구 은평로 93 1층,매일 00:00 ~ 24:00,02-387-7582,37.59978536,126.9181268,서울,은평구
청담눈초롱안과동물병원,서울 강남구 도산대로 539 금원빌딩 4층,등록된 정보가 없습니다,02-512-7566,37.52515504,127.0525487,서울,강남구
청담아이윌24시동물병원,서울 강남구 삼성로133길 3 지하1층,매일 00:00 ~ 24:00,02-6925-7021,37.51964549,127.0492067,서울,강남구
로얄동물메디컬센터 강동,서울 강동구 천호대로 1171 1~3층,매일 00:00 ~ 24:00,02-457-0075,37.53412741,127.1414007,서울,강동구
에코동물병원,서울 송파구 동남로 161 청공빌딩 101호, 월~금 09:30 ~ 20:00,02-443-2222,37.49276726,127.1280891,서울,송파구
VIP동물의료센터 서초점,"서울 서초구 동작대로 36 대광빌딩 1, 2층",월~토 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-525-3102,37.47967288,126.9821921,서울,서초구
24시 루시드동물메디컬센터,서울 강북구 월계로 3 덕신빌디 4층,매일 00:00 ~ 24:00,02-941-7900,37.60958992,127.0306828,서울,강북구
월드펫동물병원,서울 종로구 평창문화로 75 A동 1층 111호, 월~금 09:00 ~ 19:00,02-379-7575,37.60686264,126.9690062,서울,종로구
24시 글로리 동물병원,서울 금천구 시흥대로 483,등록된 정보가 없습니다,02-855-8575,37.47674386,126.8982562,서울,금천구
건국대학교 부속동물병원,서울 광진구 능동로 120, 월~금 09:00 ~ 17:30,02-450-3664,37.53918267,127.0747119,서울,광진구
골드퍼피동물병원 공릉점,서울 노원구 동일로 1014 1층, 매일 11:00 ~ 20:00 · 휴게시간 매일 12:30 ~ 14:00,02-971-5955,37.62059803,127.0749449,서울,노원구
금천24시K동물의료센터,서울 금천구 시흥대로 251 도일산호시티빌 1층 105호,매일 00:00 ~ 24:00,02-808-2475,37.45609724,126.8995704,서울,금천구
24시 애니 동물병원,서울 성북구 보문로 99 1층,매일 00:00 ~ 24:00,02-926-8275,37.58399292,127.019824,서울,성북구
N동물의료센터 강북점,서울 성북구 삼양로4길 3,매일 00:00 ~ 24:00,02-984-0075,37.60581661,127.0243684,서울,성북구
우리동물메디컬센터,서울 금천구 남부순환로 1386,등록된 정보가 없습니다,02-853-7582,37.47973845,126.9047381,서울,금천구
24시굿케어동물의료센터,서울 관악구 남부순환로 1861 1층 103호,매일 00:00 ~ 24:00,02-6956-2475,37.48000009,126.9568669,서울,관악구
청담우리동물병원,서울 강남구 삼성로 614, 매일 09:00 ~ 22:00,02-541-7515,37.51449135,127.0528533,서울,강남구
워너비동물병원,"서울 마포구 동교로 193 동진빌딩 1,2층", 월~금 10:00 ~ 20:00,02-322-1275,37.55769912,126.9225338,서울,마포구
반려동물의료센터 다울,서울 서초구 효령로 95 1층,등록된 정보가 없습니다,02-3473-0911,37.48076288,126.9946096,서울,서초구
24시센트럴동물메디컬센터,서울 성동구 고산자로 207,매일 00:00 ~ 24:00,02-3395-7975,37.5586754,127.0337365,서울,성동구
이로동물의료센터,"서울 관악구 남부순환로 1678 동보빌딩 1,2층",매일 00:00 ~ 24:00,02-887-1575,37.48422618,126.9368317,서울,관악구
24시아프리카동물메디컬센터,서울 강서구 공항대로 335 경왕빌딩,매일 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-3663-7975,37.55820284,126.8449227,서울,강서구
파스텔동물병원,서울 강서구 화곡로 112,등록된 정보가 없습니다,02-2693-0075,37.53978431,126.8344539,서울,강서구
아크리스동물의료센터,서울 강남구 봉은사로104길 10 아이큐타워 3층," 월,화,금,토 10:00 ~ 19:00 · 휴게시간 월,화,금,토 12:30 ~ 13:30",02-583-7582,37.51371335,127.0619091,서울,강남구
둘레길동물병원,서울 은평구 연서로 317 동윤빌딩 1층,등록된 정보가 없습니다,02-354-7544,37.62375664,126.9276812,서울,은평구
한수동물병원,서울 은평구 증산로 267 1층," 월,금 10:00 ~ 20:00",02-306-8575,37.58178822,126.9070475,서울,은평구
로얄동물메디컬센터 본원,"서울 중랑구 동일로 640 2,3층",매일 00:00 ~ 24:00,02-494-7582,37.58750892,127.0802646,서울,중랑구
클로버 동물병원,"서울 구로구 서해안로 2096 청솔프라자 2층 203, 204호", 월~금 10:00 ~ 19:30 · 휴게시간 월~토 13:00 ~ 14:00,02-2687-7582,37.47977836,126.822891,서울,구로구
러브펫종합동물병원,서울 관악구 남부순환로 1429, 매일 09:00 ~ 21:00,등록된 정보가 없습니다,37.48117765,126.9095731,서울,관악구
바른펫 동물의료센터,서울 강북구 노해로 65,등록된 정보가 없습니다,02-903-7582,37.64144531,127.0222145,서울,강북구
24시 수동물메디컬센터,서울 영등포구 영등포로 85-1,매일 00:00 ~ 24:00,02-2676-7582,37.52231429,126.8911756,서울,영등포구
파리스동물병원,서울 양천구 목동서로 100 목동신시가지아파트3단지 상가 1층,등록된 정보가 없습니다,02-2644-8878,37.5342244,126.874169,서울,양천구
동물메디컬센터W,서울 마포구 월드컵로 46,매일 00:00 ~ 24:00 · 휴게시간 매일 17:00 ~ 18:00 · 휴게시간 매일 13:00 ~ 14:00,02-323-8275,37.55346557,126.9123097,서울,마포구
루시드동물메디컬센터 동대문점,"서울 동대문구 전농로 57-1 지하 1층,2,3층",월~토 09:00 ~ 24:00,02-6217-0202,37.57011979,127.0569204,서울,동대문구
송파마리동물병원,서울 송파구 오금로 185 1층," 월,화,수,금 09:00 ~ 21:00",02-415-7555,37.50907511,127.114937,서울,송파구
주주동물종합병원,서울 강남구 선릉로 412,매일 09:00 ~ 24:00,02-556-0975,37.50172214,127.0505778,서울,강남구
키다리동물병원,서울 마포구 월드컵북로 218 2층 201호, 월~금 10:00 ~ 19:00 · 휴게시간 월~금 12:00 ~ 14:00,02-376-7675,37.56950108,126.9049989,서울,마포구
에이블동물병원,서울 서초구 바우뫼로 211,등록된 정보가 없습니다,02-2058-1882,37.4809136,127.0416785,서울,서초구
충현동물종합병원,서울 강남구 논현로 621,매일 00:00 ~ 24:00,02-549-7582,37.50903531,127.032754,서울,강남구
더힐동물의료센터,서울 용산구 독서당로 81-1 3층, 매일 09:00 ~ 21:00 · 휴게시간 매일 12:00 ~ 13:00,02-792-8275,37.53462533,127.0095647,서울,용산구
우신종합동물병원,서울 양천구 중앙로 295,등록된 정보가 없습니다,02-2693-8883,37.52258783,126.8513979,서울,양천구
닥터아이펫동물병원,서울 중랑구 망우로 315 영진빌딩 2층," 월,화,목,금,토,일 10:00 ~ 18:30 · 휴게시간 월,화,목,금,토,일 12:00 ~ 13:00",02-2208-0329,37.59717271,127.0874624,서울,중랑구
영등포종합동물병원,서울 영등포구 영등포로 131-2, 월~토 09:00 ~ 19:00 · 휴게시간 매일 13:00 ~ 14:00,02-2633-9991,37.52152757,126.8963209,서울,영등포구
강남25시동물병원,서울 강남구 학동로 235,등록된 정보가 없습니다,02-545-8575,37.51558036,127.0350116,서울,강남구
월드펫동물종합병원,서울 마포구 신촌로 248 1층, 매일 10:00 ~ 19:00 · 휴게시간 매일 12:00 ~ 13:00,02-364-3517,37.55703497,126.953338,서울,마포구
보라매 웰 종합동물병원,서울 동작구 상도로 16 MGI빌딩 1층, 월~금 09:00 ~ 20:30 · 휴게시간 월~금 17:00 ~ 18:30 · 휴게시간 월~금 11:30 ~ 13:00,02-3280-7975,37.49971809,126.9223178,서울,동작구
리베동물메디컬센터,서울 송파구 삼전로 56 1~4층,매일 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-6953-7502,37.50377646,127.0878896,서울,송파구
어울림동물병원,서울 서대문구 가재울미래로 2 DMC파크뷰자이 104동 1층 102A호, 월~금 10:00 ~ 18:30 · 휴게시간 월~토 12:30 ~ 14:00,02-305-4242,37.57442036,126.9178974,서울,서대문구
OK동물병원,서울 강남구 도곡로51길 4 1층, 매일 09:00 ~ 20:00 · 휴게시간 매일 13:00 ~ 14:00,02-569-7582,37.49556174,127.0498174,서울,강남구
혜인종합동물병원 본점,서울 양천구 등촌로 218," 월,화,목,금 09:30 ~ 19:00",02-2645-1475,37.54914969,126.8638983,서울,양천구
24시 스탠다드동물의료센터,서울 송파구 위례송파로 77 우성어반타워 3층 303~307호,매일 00:00 ~ 24:00,02-448-6400,37.48544292,127.142453,서울,송파구
한빛종합동물병원,서울 노원구 동일로 1370,등록된 정보가 없습니다,02-951-7582,37.65091287,127.0618458,서울,노원구
VIP동물의료센터 노원점,서울 노원구 동일로 1333,매일 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-931-1333,37.64783206,127.0623432,서울,노원구
한양동물메디컬센터,서울 성동구 왕십리로 282 1~3층, 월~토 10:00 ~ 21:00,02-2281-5200,37.55965345,127.0370055,서울,성동구
24시마곡M동물의료센터,"서울 강서구 방화대로33길 3 성은빌딩 1, 2층",매일 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-2662-7515,37.56858681,126.8162834,서울,강서구
아이웰동물의료센터,서울 마포구 백범로 130 뉴한일빌딩 1층, 월~금 10:00 ~ 21:00,02-2088-1375,37.54615788,126.9452191,서울,마포구
24시SD동물의료센터,서울 중구 왕십리로 407 신당파인힐하나유보라아파트 상가 2층 3~5호,매일 00:00 ~ 24:00,02-2039-0303,37.56478,127.02471,서울,중구
스마트동물병원 노원점,서울 노원구 노원로 470 1층,등록된 정보가 없습니다,02-952-7582,37.65843261,127.0657509,서울,노원구
방배한강동물병원,서울 서초구 방배로 204 1층, 월~금 10:00 ~ 19:30 · 휴게시간 매일 12:00 ~ 13:00,02-593-7667,37.49170346,126.9914854,서울,서초구
헬로우동물병원,서울 서대문구 연희로 178 1층, 월~금 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,02-333-7750,37.57277747,126.9357346,서울,서대문구
로운동물병원,서울 강서구 등촌로 223 2층,매일 00:00 ~ 24:00,02-6953-7576,37.54962224,126.8634105,서울,강서구
라온동물병원,서울 마포구 월드컵북로 151 1층, 월~금 10:00 ~ 20:00 · 휴게시간 월~토 13:00 ~ 14:00,02-375-7575,37.56600111,126.9108276,서울,마포구
한마음동물병원,서울 강서구 강서로18길 17,등록된 정보가 없습니다,02-2692-8275,37.53401997,126.8465847,서울,강서구
선릉동물병원,서울 강남구 선릉로 533 1층,등록된 정보가 없습니다,02-557-1555,37.50690817,127.046795,서울,강남구
이안동물의학센터,서울 강남구 선릉로 806 킹콩빌딩 5층, 월~금 09:00 ~ 21:00,02-574-7533,37.5238902,127.0396447,서울,강남구
와이즈24시동물병원,서울 강남구 학동로6길 7,등록된 정보가 없습니다,02-3446-8253,37.51125805,127.0238849,서울,강남구
정겨운동물병원,서울 동작구 상도로 315, 매일 10:00 ~ 20:00,02-817-8172,37.50001799,126.9507406,서울,동작구
라온펫동물병원,서울 송파구 가락로 169 1층, 월~토 10:00 ~ 20:00,02-555-2272,37.50405943,127.1138793,서울,송파구
하니동물의료센터,"서울 양천구 등촌로 58 한독빌딩 1,2층", 매일 09:30 ~ 21:00 · 휴게시간 매일 12:00 ~ 13:00,02-2647-1772,37.53513476,126.8637624,서울,양천구
그녀의동물병원,서울 서대문구 연희로11가길 48-4 1층,등록된 정보가 없습니다,등록된 정보가 없습니다,37.56680655,126.9276093,서울,서대문구
우리동생동물병원 마포성산점,서울 마포구 월드컵북로12길 22," 월,토 10:00 ~ 18:00 · 휴게시간 월~토 13:00 ~ 14:00",02-335-3333,37.56205063,126.9157768,서울,마포구
품 동물의료센터,서울 동작구 양녕로 277-1 1층, 매일 09:00 ~ 22:00 · 휴게시간 매일 13:00 ~ 14:00,02-812-7585,37.50439298,126.9493967,서울,동작구
플러스동물메디컬센터,서울 영등포구 양평로12가길 14 1층, 매일 10:00 ~ 20:00,02-3662-3533,37.53674727,126.8996428,서울,영등포구
필동물종합병원,서울 양천구 등촌로 16 1층,등록된 정보가 없습니다,02-2649-0774,37.53138608,126.8640976,서울,양천구
아이힐동물병원,서울 강남구 도곡로 115 거암빌딩 2층, 월~금 09:00 ~ 19:00 · 휴게시간 월~토 12:00 ~ 13:00,02-561-3375,37.49024449,127.0329821,서울,강남구
24시SNC동물메디컬센터,서울 강남구 논현로 416 운기빌딩 1층,매일 00:00 ~ 24:00 · 휴게시간 매일 13:00 ~ 14:00,02-562-7582,37.4974084,127.038878,서울,강남구
원동물병원,서울 동작구 사당로 180, 월~금 10:00 ~ 19:30,02-587-5618,37.48588465,126.9685333,서울,동작구
서울동물병원,서울 광진구 천호대로 623-1, 월~토 10:00 ~ 20:30,02-2038-8253,37.55453516,127.0870695,서울,광진구
나우동물의료센터,서울 노원구 동일로 1636 1층, 월~토 10:00 ~ 21:00 · 휴게시간 매일 13:00 ~ 14:00,02-952-9111,37.67438031,127.0556323,서울,노원구
24시산들산들동물병원,서울 마포구 마포대로16길 7,등록된 정보가 없습니다,02-393-3588,37.55097463,126.9564972,서울,마포구
현림종합동물병원,서울 양천구 등촌로 160,등록된 정보가 없습니다,02-2642-8886,37.54403832,126.862421,서울,양천구
스마트동물병원 동대문점,서울 동대문구 한천로 164 원석빌딩 1층, 매일 10:00 ~ 20:00,02-2242-0175,37.57550594,127.0676599,서울,동대문구
잠실베스트동물메디컬센터,"서울 송파구 삼학사로 88 1,2층",매일 00:00 ~ 24:00,02-2203-7975,37.50496408,127.0974087,서울,송파구
동물병원알루,"서울 송파구 법원로4길 6 문정아이파크 1층 128,129호",월요일,02-402-3270,37.48231776,127.12211,서울,송파구
내품에동물병원,서울 강동구 천호대로 1120 LIG건영 주상복합 102호, 월~토 10:00 ~ 21:00,02-477-1775,37.53445052,127.1356292,서울,강동구
안박동물병원,서울 강서구 양천로 510 1층 101-1호, 월~토 10:00 ~ 19:00,02-3664-7511,37.56011704,126.8563395,서울,강서구
가나동물종합병원,서울 양천구 목동서로 77 현대월드타워 1층,등록된 정보가 없습니다,02-2645-7588,37.5359632,126.8779881,서울,양천구
드림동물병원,서울 성북구 동소문로 74,등록된 정보가 없습니다,02-928-7582,37.59183558,127.0136985,서울,성북구
늘푸른동물병원,서울 은평구 은평로 29,등록된 정보가 없습니다,02-388-3008,37.59826825,126.9110018,서울,은평구
24시치유동물의료센터,서울 은평구 은평로 213 동원빌딩 1층,매일 00:00 ~ 24:00,02-6964-8276,37.60143562,126.931437,서울,은평구
어울동물의료센터,서울 은평구 통일로 665, 매일 10:00 ~ 20:00 · 휴게시간 매일 14:00 ~ 15:00,02-384-1110,37.60588618,126.9336842,서울,은평구
봄날동물병원,서울 양천구 목동중앙로 89, 월~수 10:00 ~ 20:00,02-6949-0413,37.53731589,126.8719698,서울,양천구
동물치과병원메이,서울 강남구 테헤란로8길 46 2층 201호," 월,화,수,금,토 09:00 ~ 18:00 · 휴게시간 월,화,수,금,토 13:00 ~ 14:00",등록된 정보가 없습니다,37.49587345,127.0322996,서울,강남구
관악동물종합병원,서울 관악구 남부순환로 1859,등록된 정보가 없습니다,02-883-2733,37.48013745,126.9564996,서울,관악구
길종합동물병원,서울 강동구 천호대로 1199,등록된 정보가 없습니다,02-484-0075,37.53508878,127.1441529,서울,강동구
24시 강서젠틀리동물의료센터,서울 강서구 마곡중앙1로 72 엠타워 101호,매일 00:00 ~ 24:00,02-2662-8111,37.55904001,126.8200632,서울,강서구
잠실온동물의료센터,"서울 송파구 올림픽로 76 J타워 1,2층",등록된 정보가 없습니다,02-418-0724,37.51156036,127.0791814,서울,송파구
원스동물병원,서울 용산구 청파로47길 16,등록된 정보가 없습니다,02-719-8275,37.54500841,126.9695029,서울,용산구
에이드동물병원,"서울 강남구 논현로 813 지하1,1층",매일 00:00 ~ 24:00,02-545-4975,37.52123891,127.0276396,서울,강남구
봄봄동물병원,서울 동대문구 회기로18길 46,등록된 정보가 없습니다,02-969-7579,37.59034952,127.0540701,서울,동대문구
다온동물병원,서울 양천구 중앙로 230 1층, 월~금 10:00 ~ 19:30 · 휴게시간 월~토 13:00 ~ 14:00,02-2643-8204,37.5171799,126.8545687,서울,양천구
현대종합동물병원,서울 강북구 노해로 94, 월~금 09:00 ~ 21:00,02-999-9110,37.64377248,127.0230504,서울,강북구
한솔동물병원,서울 서대문구 통일로 392, 월~토 09:30 ~ 19:50 · 휴게시간 월~토 13:00 ~ 13:40,02-737-8375,37.58493431,126.9486298,서울,서대문구
아인스동물병원,서울 동대문구 장한로 44 중앙빌딩 1층 101호, 월~금 09:00 ~ 19:00,02-2213-0075,37.5650789,127.067362,서울,동대문구
이태원동물병원,서울 용산구 녹사평대로 210 1층, 매일 09:00 ~ 18:00 · 휴게시간 매일 13:00 ~ 14:00,02-797-6677,37.53639702,126.9872178,서울,용산구
세진동물병원,서울 중랑구 망우로 415, 매일 10:00 ~ 20:00,등록된 정보가 없습니다,37.59966864,127.0983304,서울,중랑구
날으는동물병원,서울 마포구 마포대로11길 35 1층, 월~토 09:30 ~ 19:00 · 휴게시간 매일 12:30 ~ 13:30,02-2135-2225,37.54893642,126.9521611,서울,마포구
에이플러스동물병원,서울 서대문구 연희로 114 내풍빌딩 1층, 월~금 10:00 ~ 20:00 · 휴게시간 월~토 13:00 ~ 14:00,02-3144-7582,37.56783688,126.9319156,서울,서대문구
웰케어동물병원,서울 마포구 월드컵북로 27,등록된 정보가 없습니다,02-337-7575,37.55687528,126.9190895,서울,마포구
심바동물병원,서울 서초구 서초대로4길 4, 매일 10:00 ~ 19:00,02-523-0275,37.48548219,126.9852111,서울,서초구
아이원동물병원,서울 동대문구 전농로 80 1층, 월~토 10:00 ~ 21:00,02-2217-8930,37.57195893,127.0575963,서울,동대문구
퍼피즌동물병원,서울 강남구 선릉로 636 키스톤빌딩 1층, 월~토 09:30 ~ 20:00 · 휴게시간 매일 12:00 ~ 13:00,02-541-2651,37.51326197,127.0429879,서울,강남구
포유동물병원,서울 성북구 오패산로 22, 월~금 10:00 ~ 19:00,02-912-6555,37.60422016,127.0376844,서울,성북구
파랑새동물병원,"서울 금천구 시흥대로 276 1,2층", 월~토 09:30 ~ 18:30,02-805-2825,37.45831227,126.8995522,서울,금천구
백산동물병원,서울 강남구 논현로86길 22 2층,매일 00:00 ~ 24:00,02-1644-5653,37.50003117,127.0393548,서울,강남구
마인동물의료센터,"서울 강북구 덕릉로 133 해솔빌딩 지하1층,1층 102호",월~토 10:00 ~ 09:00,02-2039-8900,37.63524589,127.0285439,서울,강북구
페토피아동물병원,서울 송파구 오금로 203,등록된 정보가 없습니다,02-414-0075,37.50814217,127.1166285,서울,송파구
이비치동물치과병원,서울 강남구 선릉로 756 대성빌딩 2층," 월,화,목,금,토 09:00 ~ 18:00",02-511-2842,37.5222601,127.039661,서울,강남구
서울동물병원,서울 영등포구 영중로27길 10,등록된 정보가 없습니다,02-2632-8687,37.52432547,126.9042376,서울,영등포구
항동푸른숲동물병원,"서울 구로구 항동로3길 4 1,2층", 매일 10:00 ~ 20:00,02-2088-7578,37.4809973,126.8244976,서울,구로구
푸른숲동물병원,서울 마포구 월드컵로 98 서현빌딩 1층, 월~금 10:00 ~ 19:30 · 휴게시간 월~금 13:00 ~ 14:00,02-335-7577,37.55742523,126.9092664,서울,마포구
잠실종합동물병원,서울 송파구 송파대로 388,등록된 정보가 없습니다,02-415-7585,37.50238416,127.1102108,서울,송파구
셀레네동물병원,서울 마포구 독막로 85,등록된 정보가 없습니다,02-335-5232,37.5479339,126.9227612,서울,마포구
송이종합동물병원,서울 송파구 가락로 210 1층 101호, 월~토 09:00 ~ 20:00 · 휴게시간 매일 13:00 ~ 14:00,02-415-7114,37.50701994,127.1164771,서울,송파구
우리들동물종합병원,서울 노원구 동일로 1280 무지개아파트상가,등록된 정보가 없습니다,02-979-8275,37.64349621,127.0657408,서울,노원구
24시밀리언동물병원,서울 양천구 신월로 320 1층, 월~금 09:30 ~ 19:30 · 휴게시간 월~토 12:30 ~ 13:30,02-2061-5277,37.52133304,126.8564512,서울,양천구
다나동물병원,서울 강서구 강서로 254, 월~금 10:00 ~ 20:00 · 휴게시간 월~토 12:30 ~ 14:00,02-2690-1060,37.5484347,126.8367141,서울,강서구
스킨앤이어동물병원,서울 송파구 위례성대로 102 태평양파크빌라트 아케이드 2층 202호,등록된 정보가 없습니다,02-417-3021,37.51331724,127.1231369,서울,송파구
365 마음동물병원,서울 구로구 오리로 1286 2층,등록된 정보가 없습니다,02-2611-5223,37.49627786,126.8299962,서울,구로구
윤신근박사동물병원,서울 중구 퇴계로 226,등록된 정보가 없습니다,02-2272-1234,37.56163293,126.9968553,서울,중구
서진동물병원,서울 관악구 봉천로 236, 월~금 09:00 ~ 19:00,02-887-2165,37.48916981,126.927546,서울,관악구
최영민동물의료센터,서울 강남구 논현로132길 24 2층, 매일 10:00 ~ 19:00,02-546-9539,37.51517323,127.0323618,서울,강남구
경인동물의료센터,서울 영등포구 경인로 832 대성빌딩 1층, 월~토 09:00 ~ 21:00,02-571-8275,37.51572728,126.9054567,서울,영등포구
리즈동물병원,서울 양천구 목동중앙로 43,등록된 정보가 없습니다,02-2062-1110,37.533541,126.8695252,서울,양천구
정말로동물병원,서울 양천구 신월로10길 22 2층," 월,수,목,금,토,일 10:00 ~ 20:00 · 휴게시간 월,수,목,금,토,일 13:00 ~ 14:00",02-2691-8119,37.51530988,126.8408762,서울,양천구
은행나무동물병원,서울 금천구 금하로 694,등록된 정보가 없습니다,02-804-0975,37.45161097,126.9071344,서울,금천구
라파엘종합동물병원,서울 서초구 강남대로 525-3,등록된 정보가 없습니다,02-3444-7507,37.50879724,127.0219333,서울,서초구
아이엠동물병원,서울 마포구 양화로 72 효성해링턴타워 1층 121호,등록된 정보가 없습니다,02-338-2475,37.55081382,126.916494,서울,마포구
아이조은동물병원,"서울 도봉구 해등로26길 7 1층 111,112호", 월~토 10:00 ~ 21:00 · 휴게시간 매일 13:00 ~ 14:00,02-900-7555,37.65843598,127.0326059,서울,도봉구
주동물병원,서울 성북구 정릉로 328 1층, 월~금 10:00 ~ 18:30 · 휴게시간 월~금 13:00 ~ 14:00,02-914-5545,37.60199839,127.0195412,서울,성북구
다움동물병원,서울 영등포구 가마산로 449-1 영민빌딩 1층," 월,화,목,금 10:00 ~ 20:30",02-831-0075,37.5058079,126.9062965,서울,영등포구
대방동물병원,서울 영등포구 여의대방로35길 1,등록된 정보가 없습니다,02-833-0309,37.5014391,126.9204183,서울,영등포구
서울동물의료센터,"서울 강남구 역삼로 426 1, 2층", 매일 09:00 ~ 23:30 · 휴게시간 매일 12:00 ~ 14:00,02-566-8211,37.50129912,127.0536388,서울,강남구
