label_disease_nm,gender,age,breed,eye_position,age_mean
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,4,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,4,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,3,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,2,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,5,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,10,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,2,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,3,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,Abyssinian,Left Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,12,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,3,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,3,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,3,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,3,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,3,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,수컷,1,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Left Eye,3.25
비궤양성각막염,암컷,0,Abyssinian,Right Eye,3.25
비궤양성각막염,암컷,1,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,3,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
비궤양성각막염,수컷,10,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
비궤양성각막염,수컷,10,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,수컷,10,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,3,American Shorthair,Left Eye,5.95
비궤양성각막염,수컷,10,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,9,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,수컷,10,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,1,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,3,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,1,American Shorthair,Right Eye,5.95
비궤양성각막염,암컷,3,American Shorthair,Left Eye,5.95
비궤양성각막염,수컷,10,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,1,American Shorthair,Left Eye,5.95
비궤양성각막염,암컷,12,American Shorthair,Left Eye,5.95
